"Open Time ET","Side","Qty Open","Symbol","Descrip","Avg Price Open","Qty Closed","Closed Time ET","Avg Price Closed","DD as %","DD $","DD Time ET","DD Quant","DD Worst Price","Trade P/L"
"2017-05-18 14:54:56","SHORT","5","USD/JPY","USD/JPY","111.4740","5","2017-05-19 09:10:51","111.1062","-0.17","-102.24","2017-05-19 04:47:00","-5","111.7020","165.00"
"2017-05-17 13:50:17","SHORT","5","NZD/CAD","NZD/CAD","0.9442","5","2017-05-18 10:13:33","0.9411","-0.15","-93.08","2017-05-18 05:06:00","-5","0.9468","117.00"
"2017-05-11 08:11:05","SHORT","8","AUD/NZD","AUD/NZD","1.0768","8","2017-05-17 07:35:16","1.0746","-0.29","-180.10","2017-05-12 04:24:00","-6","1.0805","121.00"
"2017-05-16 09:45:12","SHORT","5","AUD/USD","AUD/USD","0.7434","5","2017-05-16 20:07:35","0.7421","-0.03","-21.15","2017-05-16 09:48:00","-5","0.7438","62.00"
"2017-05-16 08:12:58","SHORT","5","USD/JPY","USD/JPY","113.6606","5","2017-05-16 08:59:53","113.4353","-0.02","-10.31","2017-05-16 08:22:00","-5","113.6840","99.00"
"2017-05-15 17:06:11","SHORT","5","USD/JPY","USD/JPY","113.7046","5","2017-05-15 23:38:14","113.4613","-0.05","-29.70","2017-05-15 20:32:00","-5","113.7720","107.00"
"2017-05-08 16:00:12","SHORT","8","USD/CHF","USD/CHF","1.0023","8","2017-05-12 11:31:37","1.0012","-0.96","-584.54","2017-05-11 08:38:00","-5","1.0100","89.00"
"2017-05-08 08:11:55","SHORT","9","NZD/CHF","NZD/CHF","0.6905","9","2017-05-10 19:08:15","0.6888","-1.58","-948.11","2017-05-10 11:55:00","-9","0.7012","155.00"
"2017-02-08 15:31:34","SHORT","9","AUD/NZD","AUD/NZD","1.0686","9","2017-05-08 08:07:53","1.0681","-2.50","-1549.90","2017-05-01 04:15:00","-9","1.0935","30.00"
"2017-05-05 10:05:31","SHORT","5","EUR/JPY","EUR/JPY","123.6460","5","2017-05-08 05:48:28","123.0180","-0.60","-361.25","2017-05-07 17:03:00","-5","124.4590","279.00"
"2017-05-04 14:53:15","SHORT","5","EUR/GBP","EUR/GBP","0.8496","5","2017-05-05 08:08:43","0.8470","-0.14","-84.36","2017-05-05 00:17:00","-5","0.8509","168.00"
"2017-05-03 09:09:28","SHORT","8","USD/JPY","USD/JPY","112.5228","8","2017-05-04 15:47:49","112.3658","-0.57","-341.26","2017-05-04 08:47:00","-5","113.0490","112.00"
"2017-04-28 11:15:03","SHORT","10","AUD/CAD","AUD/CAD","1.0262","10","2017-05-03 08:30:23","1.0252","-0.98","-611.35","2017-05-02 20:11:00","-10","1.0346","69.00"
"2017-05-01 09:50:24","SHORT","7","NZD/CHF","NZD/CHF","0.6866","7","2017-05-03 08:10:33","0.6858","-0.49","-301.27","2017-05-02 18:59:00","-7","0.6909","57.00"
"2017-04-28 10:30:57","SHORT","6","USD/CHF","USD/CHF","0.9934","6","2017-05-02 11:56:06","0.9915","-0.30","-190.14","2017-05-01 16:24:00","-6","0.9965","113.00"
"2017-04-28 08:53:11","SHORT","6","USD/JPY","USD/JPY","111.6753","6","2017-04-28 10:30:00","111.4453","n/a","","","","","124.00"
"2017-04-25 15:30:15","SHORT","5","EUR/JPY","EUR/JPY","121.4480","5","2017-04-27 09:07:56","120.9802","-0.37","-237.04","2017-04-26 01:25:00","-5","121.9770","210.00"
"2017-04-26 09:19:21","SHORT","6","USD/CHF","USD/CHF","0.9955","6","2017-04-26 14:05:52","0.9933","-0.13","-84.61","2017-04-26 13:47:00","-6","0.9969","133.00"
"2017-04-19 18:01:52","SHORT","7","NZD/CAD","NZD/CAD","0.9438","7","2017-04-25 15:31:06","0.9424","-0.53","-356.41","2017-04-24 21:26:00","-7","0.9507","69.00"
"2017-03-28 14:15:04","SHORT","7","USD/CHF","USD/CHF","0.9927","7","2017-04-25 12:56:22","0.9925","-1.81","-1272.68","2017-04-10 07:34:00","-7","1.0108","18.00"
"2017-04-12 21:12:51","SHORT","7","NZD/USD","NZD/USD","0.6991","7","2017-04-25 08:09:20","0.6966","-0.63","-435.26","2017-04-18 21:15:00","-7","0.7053","170.00"
"2017-04-24 09:42:21","SHORT","7","EUR/GBP","EUR/GBP","0.8505","7","2017-04-24 12:57:39","0.8480","-0.06","-39.08","2017-04-24 10:06:00","-7","0.8509","219.00"
"2017-04-23 18:01:16","SHORT","6","EUR/AUD","EUR/AUD","1.4381","6","2017-04-23 20:24:49","1.4348","-0.39","-257.12","2017-04-23 18:22:00","-6","1.4438","149.00"
"2017-04-18 16:27:23","SHORT","7","EUR/AUD","EUR/AUD","1.4198","7","2017-04-21 12:40:40","1.4173","-1.08","-727.42","2017-04-20 05:28:00","-7","1.4335","132.00"
"2017-04-21 09:19:04","SHORT","7","AUD/USD","AUD/USD","0.7540","7","2017-04-21 10:58:42","0.7524","-0.02","-13.30","2017-04-21 10:02:00","-7","0.7542","109.00"
"2017-04-20 09:15:13","SHORT","6","AUD/JPY","AUD/JPY","82.2867","6","2017-04-21 08:09:00","82.0703","-0.19","-124.42","2017-04-20 10:12:00","-6","82.5130","119.00"
"2016-11-20 17:03:15","SHORT","5","AUD/JPY","AUD/JPY","81.3330","5","2017-04-19 15:00:10","81.5138","-4.08","-2713.11","2017-03-20 07:47:00","-5","87.2390","-83.00"
"2017-04-04 12:59:56","SHORT","7","CAD/CHF","CAD/CHF","0.7471","7","2017-04-18 10:31:49","0.7472","-1.29","-927.97","2017-04-13 09:40:00","-7","0.7604","-8.00"
"2017-02-24 09:54:33","SHORT","5","EUR/GBP","EUR/GBP","0.8452","5","2017-04-18 08:04:50","0.8429","-2.59","-1792.51","2017-03-28 20:11:00","-5","0.8735","143.00"
"2017-04-13 08:30:04","SHORT","7","NZD/JPY","NZD/JPY","76.4550","7","2017-04-14 08:14:22","76.1925","-0.11","-82.29","2017-04-13 09:42:00","-7","76.5830","169.00"
"2017-04-03 10:17:10","SHORT","6","EUR/AUD","EUR/AUD","1.4025","6","2017-04-13 08:18:29","1.4026","-1.23","-871.19","2017-04-11 10:59:00","-6","1.4217","-1.00"
"2017-04-11 08:18:01","SHORT","5","EUR/USD","EUR/USD","1.0617","5","2017-04-12 08:41:29","1.0599","-0.09","-64.70","2017-04-11 10:59:00","-5","1.0630","89.00"
"2017-04-10 12:37:21","SHORT","6","NZD/CHF","NZD/CHF","0.7016","6","2017-04-11 08:03:50","0.6997","-0.08","-56.47","2017-04-10 18:42:00","-6","0.7026","115.00"
"2017-04-09 21:16:02","SHORT","5","USD/JPY","USD/JPY","111.4544","5","2017-04-10 11:34:58","111.0757","-0.06","-43.53","2017-04-09 22:18:00","-5","111.5510","171.00"
"2017-04-07 08:58:33","SHORT","7","CAD/JPY","CAD/JPY","82.7770","7","2017-04-07 11:13:40","82.5404","-0.25","-176.97","2017-04-07 09:23:00","-7","83.0570","149.00"
"2017-04-07 08:30:01","SHORT","7","NZD/CAD","NZD/CAD","0.9351","7","2017-04-07 08:41:25","0.9328","n/a","","","","","120.00"
"2016-11-11 13:25:56","SHORT","6","CHF/JPY","CHF/JPY","109.9635","6","2017-04-06 22:40:38","110.2521","-4.63","-2732.74","2016-12-29 18:41:00","-4","115.5100","-157.00"
"2017-04-06 09:14:14","SHORT","6","NZD/CAD","NZD/CAD","0.9375","6","2017-04-06 10:25:10","0.9359","-0.02","-10.69","2017-04-06 09:16:00","-6","0.9377","73.00"
"2017-04-05 09:35:07","SHORT","6","CAD/JPY","CAD/JPY","83.0731","6","2017-04-05 11:07:02","82.8131","-0.09","-60.92","2017-04-05 09:50:00","-6","83.1860","140.00"
"2017-03-29 09:31:36","SHORT","6","NZD/CHF","NZD/CHF","0.6992","6","2017-04-04 08:59:11","0.6984","-0.35","-245.27","2017-04-03 19:31:00","-6","0.7033","51.00"
"2017-03-30 08:46:11","SHORT","6","CAD/CHF","CAD/CHF","0.7492","6","2017-04-03 09:59:08","0.7482","-0.38","-267.12","2017-03-31 16:19:00","-6","0.7537","63.00"
"2017-03-28 09:16:39","SHORT","9","AUD/CAD","AUD/CAD","1.0215","9","2017-03-30 08:35:41","1.0208","-0.38","-267.30","2017-03-29 09:40:00","-9","1.0255","47.00"
"2017-03-21 11:32:44","SHORT","6","EUR/AUD","EUR/AUD","1.4008","6","2017-03-30 08:16:36","1.3993","-2.04","-1391.84","2017-03-27 09:43:00","-6","1.4311","70.00"
"2017-03-24 10:45:41","SHORT","6","NZD/USD","NZD/USD","0.7027","6","2017-03-28 14:31:13","0.7012","-0.36","-247.38","2017-03-27 07:53:00","-6","0.7068","84.00"
"2016-11-09 15:14:03","SHORT","6","USD/JPY","USD/JPY","110.0243","6","2017-03-27 08:11:00","110.1460","-5.97","-3488.65","2017-01-03 10:14:00","-3","118.6120","-66.00"
"2017-03-23 12:10:35","SHORT","4","GBP/JPY","GBP/JPY","139.1799","4","2017-03-23 15:34:42","138.6957","-0.08","-53.73","2017-03-23 12:20:00","-4","139.3290","175.00"
"2017-03-22 18:09:52","SHORT","4","GBP/JPY","GBP/JPY","138.8695","4","2017-03-23 09:02:57","138.4429","-0.22","-150.83","2017-03-22 21:45:00","-4","139.2880","154.00"
"2017-03-22 09:36:13","SHORT","6","NZD/CAD","NZD/CAD","0.9417","6","2017-03-22 16:36:32","0.9397","-0.17","-116.32","2017-03-22 10:32:00","-6","0.9443","91.00"
